orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color
0,0,1,right,red
90,1,2,down,red
90,1,2,down,red
0,0,1,right,red
90,1,2,down,red
270,3,0,up,red
180,2,3,left,red
270,3,0,up,red
270,3,0,up,red
270,3,0,up,red
0,0,1,right,red
270,3,0,up,red
270,3,0,up,red
180,2,3,left,red
90,1,2,down,red
90,1,2,down,red
270,3,0,up,red
180,2,3,left,red
0,0,1,right,red
180,2,3,left,red
90,1,2,down,red
270,3,0,up,red
270,3,0,up,red
0,0,1,right,red
0,0,1,right,red
90,1,2,down,red
270,3,0,up,red
90,1,2,down,red
0,0,1,right,red
180,2,3,left,red
270,3,0,up,red
270,3,0,up,red
180,2,3,left,red
0,0,1,right,red
270,3,0,up,red
270,3,0,up,red
270,3,0,up,red
270,3,0,up,red
180,2,3,left,red
180,2,3,left,red
180,2,3,left,red
90,1,2,down,red
0,0,1,right,red
90,1,2,down,red
90,1,2,down,red
270,3,0,up,red
180,2,3,left,red
180,2,3,left,red
0,0,1,right,red
90,1,2,down,red
90,1,2,down,red
90,1,2,down,red
270,3,0,up,red
270,3,0,up,red
90,1,2,down,red
180,2,3,left,red
90,1,2,down,red
0,0,1,right,red
90,1,2,down,red
90,1,2,down,red
180,2,3,left,red
180,2,3,left,red
0,0,1,right,red
270,3,0,up,red
0,0,1,right,red
90,1,2,down,red
0,0,1,right,red
0,0,1,right,red
0,0,1,right,red
0,0,1,right,red
180,2,3,left,red
0,0,1,right,red
90,1,2,down,red
90,1,2,down,red
180,2,3,left,red
180,2,3,left,red
0,0,1,right,red
270,3,0,up,red
180,2,3,left,red
270,3,0,up,red
90,1,2,down,red
180,2,3,left,red
270,3,0,up,red
270,3,0,up,red
270,3,0,up,red
